id,institutionCode,catalogNumber,recordedBy,year,month,day,decimalLatitude,decimalLongitude,Personal ID status,,,,,,,
14285523,iNat,151948950,Sarah Kolarik,2023,3,22,34.97277316,-82.40780855,yes,,,,,,,
13610546,iNat,203624192,Harrison Baucom,2024,3,23,33.89380687,-84.44207068,maybe,,,,,,,
14068829,iNat,203656178,David Allf,2024,3,23,35.17570223,-81.14096467,maybe,,,,,,,
13610584,iNat,203682720,mpearlstein,2024,3,23,33.7933557,-84.27894724,maybe,,,,,,,
14068831,iNat,203659895,A. Gaskell,2024,3,23,35.07805,-79.90173333,no,,,,,,,
14306875,iNat,152060972,Ryan Pudwell,2023,3,23,35.07967,-89.87667797,yes,,,,,,,
14068270,iNat,200579554,forest-stream-and-sea,2019,3,23,35.2895651,-81.2078164,yes,,,,,,,
14313382,iNat,203666579,J. Fields Falcone,2024,3,23,35.0650555,-90.12854717,yes,,,,,,,
13610581,iNat,203677196,mpearlstein,2024,3,23,33.9403213,-84.20562602,yes,,,,,,,
13891582,iNat,203782826,Maddie Jewess,2024,3,24,34.36055333,-89.52839667,yes,,,,,,,
14313398,iNat,203808814,mabrybiggs,2024,3,24,36.13495686,-85.82560387,yes,,,,,,,
14313420,iNat,203964879,Jared Gorrell,2024,3,24,36.07396798,-85.8335226,yes,,,,,,,
13891595,iNat,204461670,adfloyd,2024,3,24,33.81025663,-89.71100589,yes,,,,,,,
14306907,iNat,152298854,nizar,2023,3,25,35.14536667,-89.98716167,maybe,,,,,,,
14057006,iNat,152378817,Joey P,2023,3,25,35.825225,-79.14636117,maybe,,,,,,,
13599620,iNat,153557467,Giff Beaton,2023,3,25,33.51129092,-84.73753146,maybe,,,,,,,
12857303,iNaturalist,72034275,Rob John,2021,3,25,32.45187871,-86.37225994,n/a,,,,,,,
13610622,iNat,203927283,Suzanne Nicksic,2024,3,25,33.79711914,-84.16146851,yes,,,,,,,
14068884,iNat,203976227,Mel Humble,2024,3,25,34.9371693,-80.78301527,yes,,,,,,,
14038654,iNat,40767611,adriennemoore,2020,3,26,36.04597217,-79.14085283,maybe,,,,,,,
13610653,iNat,204078565,Christine Braaten,2024,3,26,33.4883926,-81.9901154,maybe,,,,,,,
13610663,iNat,204105391,Steven IGAS Landseadel,2024,3,26,33.7559285,-85.04787745,maybe,,,,,,,
14295461,iNat,21853509,jefferykarafa,2019,3,26,35.07688463,-89.8973617,yes,,,,,,,
14306915,iNat,152392954,gumbodian,2023,3,26,36.12975355,-86.75040017,yes,,,,,,,
14057014,iNat,152412156,Gage Sutton,2023,3,26,35.18908189,-80.07039632,yes,,,,,,,
14057018,iNat,152416863,Becky Dill,2023,3,26,35.15618834,-80.05424238,yes,,,,,,,
13715030,iNat,152761460,Karina Danielle Yates,2023,3,26,37.9640496,-84.7866488,yes,,,,,,,
14068891,iNat,204051404,Rob Van Epps,2024,3,26,35.56251342,-80.87954581,yes,,,,,,,
14313431,iNat,204063589,nizar,2024,3,26,35.14746117,-89.98348333,yes,,,,,,,
14313434,iNat,204066148,nizar,2024,3,26,35.14664717,-89.98535833,yes,,,,,,,
13610745,iNat,204408879,Steven IGAS Landseadel,2024,3,27,33.09102214,-83.4891474,no,,,,,,,
13610746,iNat,204409676,Steven IGAS Landseadel,2024,3,27,33.17164895,-83.44386221,no,,,,,,,
14057053,iNat,152569701,George Lee,2023,3,27,35.23272649,-82.27445957,yes,,,,,,,
14289151,iNat,204197668,Kristen Nicole,2024,3,27,34.77998908,-82.8805132,yes,,,,,,,
13889630,iNat,144228115,Logan Wiedenfeld,2021,3,28,32.337911,-90.850921,maybe,,,,,,,
14057064,iNat,152660848,outdoorbum,2023,3,28,35.26668833,-80.929245,maybe,,,,,,,
13610705,iNat,204300896,Brandon Reid Fountain,2024,3,28,32.88866167,-83.807005,maybe,,,,,,,
14313474,iNat,204314721,Oliver Sweazy,2024,3,28,35.14733291,-89.98507896,maybe,,,,,,,
13610717,iNat,204332945,laird_haynes,2024,3,28,33.95441334,-84.77641568,maybe,,,,,,,
14057141,iNat,153301647,Laura Dawson,2023,3,28,35.80600853,-81.31608076,yes,,,,,,,
14289158,iNat,204265460,Hope Wertz,2024,3,28,34.91174842,-82.27633895,yes,,,,,,,
14471693,iNat,204318797,Theo O'Connell III,2024,3,28,39.28870007,-80.30592196,yes,,,,,,,
14075520,iNat,238715623,Jeff Guillemette,2023,3,28,35.45904281,-80.97375188,yes,,,,,,,
14075521,iNat,238715655,Jeff Guillemette,2023,3,28,35.22864306,-80.93983455,yes,,,,,,,
14075522,iNat,238715816,Jeff Guillemette,2023,3,28,35.28900279,-80.81446604,yes,,,,,,,
14075523,iNat,238715855,Jeff Guillemette,2023,3,28,35.26442205,-80.96631401,yes,,,,,,,
14057074,iNat,152727292,whatajewell,2023,3,29,36.0032271,-78.91043213,maybe,,,,,,,
14057085,iNat,152777697,jmtiffan,2023,3,29,35.76947403,-78.67302704,maybe,,,,,,,
13610728,iNat,204395067,Brandon Reid Fountain,2024,3,29,32.76483667,-83.400925,no,,,,,,,
13610753,iNat,204445851,Lauren Giles,2024,3,29,33.84610333,-84.44943333,no,,,,,,,
13610762,iNat,204455418,ramblingbea,2024,3,29,33.92497805,-84.35894832,no,,,,,,,
12521237,iNat,40982406,tnhiker,2020,3,29,36.548434,-82.5618186,yes,,,,,,,
12526759,iNat,41578524,Jacob Saucier,2020,3,29,38.895911,-77.081203,yes,,,,,,,
14285198,iNat,147766852,thomas_oneal97,2022,3,29,34.87487167,-82.04461667,yes,,,,,,,
14289175,iNat,204401508,breashia23,2024,3,29,34.99849973,-81.96633213,yes,,,,,,,
14313502,iNat,204596675,Hayden Johnson,2024,3,30,35.056675,-90.12982217,maybe,,,,,,,
14289189,iNat,204649757,Julie Menzies,2024,3,30,34.72404744,-82.23285474,maybe,,,,,,,
14289190,iNat,204649934,Julie Menzies,2024,3,30,34.73210357,-82.22253479,maybe,,,,,,,
13623534,iNat,267719699,Sara Gottlieb,2025,3,30,33.77211167,-84.31949667,maybe,,,,,,,
14298512,iNat,72477469,Melissa Bell,2021,3,30,35.96755021,-86.65311192,yes,,,,,,,
13715036,iNat,152870407,kennaanderson,2023,3,30,37.468975,-82.54602,yes,,,,,,,
14307029,iNat,153454629,Luke Mahrenholz,2023,3,30,36.24719356,-86.91779128,yes,,,,,,,
13715078,iNat,153558820,gracetackett,2023,3,30,37.46869161,-82.54757073,yes,,,,,,,
13715204,iNat,154855734,kaylicaudill,2023,3,30,37.46903833,-82.54602833,yes,,,,,,,
13715250,iNat,155410973,kaylicaudill,2023,3,30,37.46903833,-82.54602833,yes,,,,,,,
14069003,iNat,204969867,obenhan,2024,3,30,35.9471043,-79.01066182,yes,,,,,,,
13610891,iNat,205386226,charliehunter,2024,3,30,33.83854167,-84.27017167,yes,,,,,,,
14306977,iNat,152983744,Alex Hejna,2023,3,31,35.34234722,-90.03977778,maybe,,,,,,,
13610804,iNat,204871970,codiro,2024,3,31,34.30774667,-82.85681167,maybe,,,,,,,
8184569,MUOB,MUOB 362396,Vintage_Leaf,2019,3,31,37.0757,-76.5039,maybe,,,,,,,
12329396,iNat,21984973,Johnny,2019,3,31,33.22060833,-83.42591667,no,,,,,,,
14038692,iNat,41126947,Jonathan Rand,2020,3,31,35.72500071,-82.43692075,yes,,,,,,,
13616100,iNat,234636137,iatkins777,2024,3,31,34.58684329,-83.42212207,yes,,,,,,,
12377810,iNaturalist,29211566,dianaabc,2019,4,0,34.24490946,-87.34651223,n/a,,,,,,,
12542979,iNaturalist,43749469,Erik,2020,4,0,39.05548617,-77.33141333,n/a,,,,,,,
12981225,iNaturalist,90500318,jim,2021,4,0,38.47720625,-90.65964398,n/a,,,,,,,
6958348,iNaturalist,12342617,theo_witsell,2018,4,0,34.83952167,-92.52953333,yes,,,,,,,
14289204,iNat,204999039,Jess Hartshorn,2024,4,1,34.6128601,-82.9058185,no,,,,,,,
12536520,iNat,42732804,atlrob,2020,4,1,34.77201401,-83.43426414,yes,,,,,,,
14281675,iNat,89835775,Kimberly R Fleming,2009,4,1,34.393524,-82.348927,yes,,,,,,,
14282634,iNat,110144335,Haley,2022,4,1,35.1256315,-82.5735783,yes,,,,,,,
14361617,iNat,153064251,Betsy Washington,2023,4,1,37.779495,-76.44821167,yes,,,,,,,
14057132,iNat,153204794,Brody McAllister,2023,4,1,35.38142345,-82.592985,yes,,,,,,,
8183450,MUOB,MUOB 360248,Donald Stokes,2004,4,1,34.4818,-88.9909,yes,,,,,,,
13590774,iNat,110230673,John Moorhous,2022,4,2,34.10759535,-85.33634361,maybe,,,,,,,
14361644,iNat,153270033,Caleb Ratigan,2023,4,2,37.52953388,-77.46937159,maybe,,,,,,,
14069028,iNat,205165139,Austin Cline,2024,4,2,35.19844756,-80.63939195,maybe,,,,,,,
13610859,iNat,205242364,Suzanne,2024,4,2,33.87149048,-83.29714203,maybe,,,,,,,
14289217,iNat,205108318,Tommy Victor,2024,4,2,34.88380378,-82.2113568,no,,,,,,,
12523770,iNat,41257733,Alex B.,2020,4,2,37.80353122,-82.84758281,yes,,,,,,,
12524239,iNat,41302838,Roody White,2020,4,2,36.46558082,-85.40293112,yes,,,,,,,
14038733,iNat,41791787,Kirsten Bonanza-Diaz,2020,4,2,35.65795833,-82.46862,yes,,,,,,,
12863652,iNat,72808213,marley_s,2021,4,2,34.14196667,-84.29187833,yes,,,,,,,
14057139,iNat,153277164,Denise Williams,2023,4,2,35.62432333,-81.73525667,yes,,,,,,,
14069021,iNat,205130864,bkmccormick,2024,4,2,36.0793195,-79.97772167,yes,,,,,,,
14313563,iNat,205265584,hyphae1,2024,4,2,35.37478975,-86.22835299,yes,,,,,,,
14069282,iNat,207982510,Devin Merkle,2024,4,2,36.08971477,-79.82967429,yes,,,,,,,
13581040,iNat,10592582,Juno Jang,2018,4,3,33.90966,-84.4699025,maybe,,,,,,,
13581039,iNat,10592449,Juno Jang,2018,4,3,33.90949465,-84.47051505,yes,,,,,,,
13590791,iNat,110433478,Cassie Tamblyn,2022,4,3,34.54640421,-83.52007339,yes,,,,,,,
13599624,iNat,153572831,stephanieheuker,2023,4,3,34.04150833,-84.42442167,yes,,,,,,,
14471742,iNat,205382224,Theo O'Connell III,2024,4,3,39.28508837,-80.33870056,yes,,,,,,,
13718990,iNat,216192019,Joe Lacefield,2024,4,3,38.0946726,-84.8521793,yes,,,,,,,
12524850,iNat,41376567,Roberta,2020,4,4,37.48779726,-75.90223983,no,,,,,,,
13599678,iNat,153932006,waspaganda,2023,4,4,34.95596667,-83.77909167,no,,,,,,,
14057164,iNat,153495650,spencerworley,2023,4,4,36.26327515,-78.92769623,yes,,,,,,,
14057167,iNat,153549945,jongorter,2023,4,4,35.28128433,-82.44352722,yes,,,,,,,
14057444,iNat,155830801,Robby Deans,2023,4,4,35.65455982,-79.96955272,yes,,,,,,,
13716494,iNat,176486859,Ilona Perler-Tomboly,2023,4,4,37.5649,-84.2405,yes,,,,,,,
14069055,iNat,205399890,skhubbard1,2024,4,4,36.13535283,-81.18772833,yes,,,,,,,
14471754,iNat,205598978,Theo O'Connell III,2024,4,4,39.28508837,-80.33870056,yes,,,,,,,
14069088,iNat,205680606,CJ Smith,2024,4,4,35.73353271,-82.4869091,yes,,,,,,,
13610920,iNat,205540392,ilookaftertherain,2024,4,5,33.93695034,-83.9577695,maybe,,,,,,,
13610921,iNat,205540703,ilookaftertherain,2024,4,5,33.8291205,-83.95467148,maybe,,,,,,,
14250074,iNat,205896038,Kevin Popowich,2024,4,5,39.8009791,-75.26710329,maybe,,,,,,,
14313644,iNat,206286749,Ryne Rutherford,2024,4,5,35.99296167,-84.21611167,maybe,,,,,,,
8184813,MUOB,MUOB 362845,Vintage_Leaf,2019,4,5,37.0757,-76.5039,maybe,,,,,,,
14361751,iNat,154204995,Jules Amanita,2023,4,5,37.86451755,-77.81788908,yes,,,,,,,
13610922,iNat,205540957,ilookaftertherain,2024,4,5,33.8402013,-83.8991601,yes,,,,,,,
13610923,iNat,205541163,ilookaftertherain,2024,4,5,33.8402013,-83.8991601,yes,,,,,,,
13610926,iNat,205566443,carolinabean,2024,4,5,33.87775507,-83.93159,yes,,,,,,,
13610928,iNat,205595070,mpearlstein,2024,4,5,33.89662342,-84.30952704,yes,,,,,,,
14471755,iNat,205599176,Theo O'Connell III,2024,4,5,39.30842129,-80.34675624,yes,,,,,,,
13718466,iNat,205745256,bobbybray76,2024,4,5,36.80302413,-85.65738006,yes,,,,,,,
13908411,iNat,206438204,amlambert11,2024,4,5,38.58904585,-92.23611193,yes,,,,,,,
8184814,MUOB,MUOB 362846,Vintage_Leaf,2019,4,5,37.0757,-76.5039,yes,,,,,,,
13586289,iNat,63590529,lejones417,2013,4,6,33.76568701,-84.3359042,maybe,,,,,,,
13599640,iNat,153693290,denispell,2023,4,6,34.72797012,-83.57616425,maybe,,,,,,,
13718472,iNat,205777771,kylebrown,2024,4,6,36.80902167,-86.46353,maybe,,,,,,,
13891620,iNat,205933181,Brian Williams,2024,4,6,34.34580799,-88.99637389,maybe,,,,,,,
13610969,iNat,206081240,Darling Data,2024,4,6,33.66524167,-84.35372167,maybe,,,,,,,
13612476,iNat,217688835,ilookaftertherain,2024,4,6,33.90794687,-83.91022627,maybe,,,,,,,
14057213,iNat,153717858,matthish09,2023,4,6,35.76472855,-82.3731308,no,,,,,,,
13535479,iNat,153687216,czmike,2023,4,6,39.70702927,-75.70276137,yes,,,,,,,
14057209,iNat,153696167,acranson,2023,4,6,36.2310791,-79.77681732,yes,,,,,,,
14057210,iNat,153698014,sandy_04,2023,4,6,35.61003534,-82.44003153,yes,,,,,,,
14057214,iNat,153732133,birdygirls,2023,4,6,35.18734741,-82.97240448,yes,,,,,,,
14313594,iNat,205733560,Phillip A Filtz,2024,4,6,36.331195,-88.60498833,yes,,,,,,,
14250039,iNat,205745295,Ryan Smith,2024,4,6,40.19564046,-80.03866609,yes,,,,,,,
14471778,iNat,205801172,Theo O'Connell III,2024,4,6,39.27141318,-80.29503353,yes,,,,,,,
13718496,iNat,206248433,Michelle Strader,2024,4,6,38.35748759,-82.64611192,yes,,,,,,,
14371564,iNat,206347219,wanderingeden,2024,4,6,36.50749976,-76.09459115,yes,,,,,,,
13610995,iNat,206408747,Calvin Walford,2024,4,6,33.84144261,-83.85299191,yes,,,,,,,
14121160,iNat,207511878,laddercorn,2024,4,6,39.07489615,-84.41589797,yes,,,,,,,
13612477,iNat,217689644,ilookaftertherain,2024,4,6,33.90779037,-83.91163742,yes,,,,,,,
13612478,iNat,217690268,ilookaftertherain,2024,4,6,33.90749546,-83.91089434,yes,,,,,,,
8017786,MUOB,MUOB 92161,Dave W,2012,4,6,41.1646,-75.9602,yes,,,,,,,
12530294,iNat,41990702,Tucker O'Brien,2020,4,7,38.99312626,-77.00522417,maybe,,,,,,,
13647023,iNat,153877053,Hannah Holmquist,2023,4,7,37.74706374,-89.34483979,maybe,,,,,,,
13610959,iNat,205933019,Mark A Ray,2024,4,7,34.14230599,-84.85360268,maybe,,,,,,,
12526985,iNaturalist,41608885,tatarrific,2020,4,7,38.97979042,-77.03683144,n/a,,,,,,,
6957444,iNat,12168526,Daniel Folds,2018,4,7,34.18435912,-84.52454448,no,,,,,,,
13748185,iNat,41639293,Dani Weissman,2020,4,7,39.01195233,-77.03399327,no,,,,,,,
12330701,iNat,22166324,agsulliv,2019,4,7,35.69728333,-78.71923,yes,,,,,,,
14192981,iNat,41768109,Kyle Hancock,2020,4,7,39.91712742,-75.22849646,yes,,,,,,,
12232677,iNat,111157355,dbond,2022,4,7,36.16684683,-82.2945979,yes,,,,,,,
14057252,iNat,154125852,dogeatingdirt,2023,4,7,35.48271895,-83.3025965,yes,,,,,,,
14371495,iNat,205888669,jfife7,2024,4,7,37.26299552,-80.4359418,yes,,,,,,,
14069111,iNat,205991376,klubnc,2024,4,7,35.17180471,-81.30985562,yes,,,,,,,
14471788,iNat,206016306,Theo O'Connell III,2024,4,7,39.28870007,-80.30592196,yes,,,,,,,
13762295,iNat,154053669,Annie Weissman,2023,4,8,38.96107167,-77.1269445,maybe,,,,,,,
13710098,iNat,41692649,Samuel Lyons,2020,4,8,37.38883642,-85.34809358,yes,,,,,,,
13665841,iNat,41716774,Joe Steele,2020,4,8,39.16814667,-86.16229167,yes,,,,,,,
13715100,iNat,153951227,ozzyelm1,2023,4,8,37.91836548,-85.65770721,yes,,,,,,,
13715108,iNat,154000030,Ruth M.,2023,4,8,37.92786502,-85.61876332,yes,,,,,,,
13715120,iNat,154035578,Pauline Catling,2023,4,8,37.49007635,-84.19658778,yes,,,,,,,
13762296,iNat,154053716,Annie Weissman,2023,4,8,38.96062833,-77.12667217,yes,,,,,,,
13647054,iNat,154317673,Jeff Steele,2023,4,8,37.43785185,-89.57184591,yes,,,,,,,
13647064,iNat,154417595,Michelle Dane,2023,4,8,37.6095315,-89.2022929,yes,,,,,,,
13687378,iNat,154497761,Crystal Birt,2023,4,8,38.47271988,-85.87059338,yes,,,,,,,
14069119,iNat,206133351,Antigone Burke,2024,4,8,35.53641188,-82.7819347,yes,,,,,,,
14471799,iNat,206174880,Theo O'Connell III,2024,4,8,39.28870007,-80.30592196,yes,,,,,,,
14471805,iNat,206177260,Theo O'Connell III,2024,4,8,39.28870007,-80.30592196,yes,,,,,,,
14471806,iNat,206177666,Theo O'Connell III,2024,4,8,39.28870007,-80.30592196,yes,,,,,,,
14471809,iNat,206178129,Theo O'Connell III,2024,4,8,39.28870007,-80.30592196,yes,,,,,,,
14471811,iNat,206178592,Theo O'Connell III,2024,4,8,39.28870007,-80.30592196,yes,,,,,,,
14471818,iNat,206180753,Theo O'Connell III,2024,4,8,39.28870007,-80.30592196,yes,,,,,,,
13908391,iNat,206247328,Jim Oehmke,2024,4,8,36.49667169,-90.63440055,yes,,,,,,,
14353041,iNat,110878125,Jiang Chao,2022,4,9,38.7672545,-77.0595194,maybe,,,,,,,
13762314,iNat,154176671,veggins,2023,4,9,39.01815796,-77.0679245,maybe,,,,,,,
14307385,iNat,156604843,Gwen,2019,4,9,35.9632133,-86.5299673,maybe,,,,,,,
14057261,iNat,154162567,John,2023,4,9,35.92532861,-78.94252643,no,,,,,,,
8130125,MUOB,MUOB 273854,Jimmy Craine,2017,4,9,30.3018,-48.3124,no,,,,,,,
14037345,iNat,28677977,Armin Weise,2019,4,9,35.65110466,-82.57568488,yes,,,,,,,
13903624,iNat,154117425,bvilensky,2023,4,9,37.12791117,-93.23753333,yes,,,,,,,
14307144,iNat,154157845,infamyandbeyond,2023,4,9,36.30593109,-82.36290741,yes,,,,,,,
13599711,iNat,154160967,Troy Alexander,2023,4,9,34.763517,-83.94751397,yes,,,,,,,
14361743,iNat,154176742,jasonsosebee,2023,4,9,38.28424667,-77.495095,yes,,,,,,,
14313645,iNat,206299992,Luke Mahrenholz,2024,4,9,35.94532094,-87.24026629,yes,,,,,,,
14250182,iNat,206339581,Robert Bosiljevac,2024,4,9,40.57023925,-79.90907096,yes,,,,,,,
14081028,iNat,262458373,Royce Milam,2019,4,9,35.81896638,-82.88642839,yes,,,,,,,
12870496,iNat,73750671,Ilana,2021,4,10,38.90513342,-77.38570508,maybe,,,,,,,
12234291,iNat,111397187,Aeran Coughlin,2022,4,10,35.92446333,-79.04773617,maybe,,,,,,,
14069182,iNat,206814596,Sarah Wright,2024,4,10,35.6997502,-80.74884735,maybe,,,,,,,
8130681,MUOB,MUOB 274824,John,2017,4,10,34.0257,-84.7809,maybe,,,,,,,
13590848,iNat,111021098,Troy Alexander,2022,4,10,34.658627,-85.38987797,no,,,,,,,
14037347,iNat,28677979,Armin Weise,2019,4,10,35.24719738,-82.0738219,yes,,,,,,,
14193011,iNat,41833347,Phil M,2020,4,10,40.05621075,-75.2173309,yes,,,,,,,
12232101,iNat,111076945,Carrie,2022,4,10,34.98138233,-80.98299801,yes,,,,,,,
13715167,iNat,154571724,Karina Danielle Yates,2023,4,10,38.5365748,-83.1359978,yes,,,,,,,
14307215,iNat,154868502,Molly Hammel,2023,4,10,35.75238889,-83.27434722,yes,,,,,,,
14118653,iNat,192341277,Cindy MC wildlydistracted,2021,4,10,39.36973815,-82.9323352,yes,,,,,,,
14069151,iNat,206460837,sierra harwood,2024,4,10,35.81987254,-81.18815515,yes,,,,,,,
13694536,iNat,206538297,Happi Hyphae,2024,4,10,41.23807865,-85.85304704,yes,,,,,,,
14353058,iNat,111146628,Bea Leiderman,2022,4,11,37.46946667,-77.669525,maybe,,,,,,,
12239732,iNat,112127414,Dana Fitz-Simons,2014,4,11,35.96675212,-78.64070501,maybe,,,,,,,
13381727,FLAS,FLAS-F-68842,Rachel Swenie,2021,4,11,35.707,-83.3829,n/a,,,,,,,
4387561,PUL,PUL00031851,"Russell, Stephen D",2017,4,11,39.427825,-86.428328,n/a,,,,,,,
12222280,iNat,109774233,Brian Hunt,2017,4,11,39.24989904,-86.16870988,yes,,,,,,,
12232888,iNat,111192504,francesboyer,2022,4,11,37.54070615,-77.43604817,yes,,,,,,,
12240799,iNat,112273948,hjroberts,2022,4,11,37.46965557,-83.29695157,yes,,,,,,,
12240860,iNat,112285696,jdisney326,2022,4,11,37.46637167,-83.14106667,yes,,,,,,,
14057299,iNat,154474651,lenahaley,2023,4,11,35.83896231,-82.03206841,yes,,,,,,,
14225568,iNat,154490317,Robert Bosiljevac,2023,4,11,40.53147709,-79.78437754,yes,,,,,,,
14121011,iNat,206670548,goltzene,2024,4,11,39.49931333,-84.039315,yes,,,,,,,
13611037,iNat,206671033,Stephen Wojcik,2024,4,11,34.1477555,-84.20438333,yes,,,,,,,
14121021,iNat,206697530,Cindy MC wildlydistracted,2024,4,11,40.25498424,-82.95710276,yes,,,,,,,
14121025,iNat,206703495,Brooke Medlin,2024,4,11,39.66872706,-84.38197842,yes,,,,,,,
14121026,iNat,206703594,Brooke Medlin,2024,4,11,39.79923667,-84.336495,yes,,,,,,,
14471842,iNat,206813592,Theo O'Connell III,2024,4,11,39.25092187,-80.31231165,yes,,,,,,,
11191432,TENN-F,TENN-F-075708,C.R. Noffsinger,2021,4,11,35.7296,-83.4062,yes,,,,,,,
14307264,iNat,155276329,Cade,2023,4,12,36.29958534,-82.36758344,maybe,,,,,,,
13665889,iNat,42038645,Joe Steele,2020,4,12,39.05321383,-86.22356333,yes,,,,,,,
13748212,iNat,42050585,Erin Lalime,2020,4,12,39.13478611,-76.89271944,yes,,,,,,,
14043999,iNat,73832802,Henry Van T. Cotter,2021,4,12,35.87265833,-79.07047222,yes,,,,,,,
14301362,iNat,111217972,Michael Campbell,2022,4,12,35.71867773,-83.40784865,yes,,,,,,,
12233364,iNat,111258050,Tim Emhoff,2022,4,12,38.47094444,-76.88123333,yes,,,,,,,
12233896,iNat,111332639,William Poindexter,2022,4,12,38.81884724,-86.50177818,yes,,,,,,,
13535494,iNat,154588374,Joe Breznicky,2023,4,12,39.80892263,-75.5563933,yes,,,,,,,
14225589,iNat,154645789,Kevin Popowich,2023,4,12,39.81068964,-75.27604784,yes,,,,,,,
14058267,iNat,165418737,Armin Weise,2023,4,12,35.30731499,-82.31761774,yes,,,,,,,
13769401,iNat,206802868,jmshow445,2024,4,12,39.66000845,-77.46740666,yes,,,,,,,
